ts,spot_high,spot_low,spot_close,S_t,call_high,call_low,call_close,C_mkt,best_bid_price,best_ask_price,poly_quote_ts,p_poly,poly_stale_sec,dt,tau,tau_call,sigma_hat,se_sigma,sigma_source,p_fair,dpfair_dsigma,var_pfair,se_pfair,TF_t,CI_adj_lo,CI_adj_hi,s_B_proxy,s_B,s_P,f_B,f_P,se_poly_discrete,se_D_delta,D,K,r,P_poly,P_fair,market_id,market_label,binance_call_symbol
1693382400,27499.0,27406.65,27470.98,27452.825,455.0,15.0,125.0,140.0,135.0,145.0,1693378800.0,0.16000000000000003,3600.0,2023-08-30 08:00:00+00:00,0.0018264840182648401,0.005479452054794521,0.42131062615898207,0.326720032073633,newton,0.13554534892698564,0.5593842759696028,0.0334019664034518,0.1827620485862746,0.04301428571428571,-0.2656825520163983,0.5367732498703696,0.07142857142857142,0.07142857142857142,0.01,0.0003,0.002,0.0002886751345948129,0.18276227656927763,0.024454651073014394,28000.0,0.045,0.16000000000000003,0.13554534892698564,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693386000,27471.92,27310.05,27426.8,27390.985,455.0,15.0,110.0,107.5,105.0,110.0,1693386000.0,0.16000000000000003,0.0,2023-08-30 09:00:00+00:00,0.0017123287671232876,0.005365296803652968,0.3994596990142708,0.35843373903963904,newton,0.0911005845381989,0.5404150292245604,0.037520844289714764,0.193702979558175,0.030555813953488373,-0.3191130693493125,0.5013142384257103,0.046511627906976744,0.046511627906976744,0.01,0.0003,0.002,0.0002886751345948129,0.19370319466402225,0.06889941546180113,28000.0,0.045,0.16000000000000003,0.0911005845381989,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693389600,27448.86,27400.0,27435.44,27424.43,455.0,15.0,110.0,112.5,110.0,115.0,1693386000.0,0.16000000000000003,3600.0,2023-08-30 10:00:00+00:00,0.0015981735159817352,0.005251141552511416,0.3990087667018962,0.3534693928650578,newton,0.09584110015543973,0.549826305182967,0.03777066711603651,0.19434677027426134,0.029522222222222224,-0.3146007918043347,0.5062829921152141,0.044444444444444446,0.044444444444444446,0.01,0.0003,0.002,0.0002886751345948129,0.19434698466755237,0.0641588998445603,28000.0,0.045,0.16000000000000003,0.09584110015543973,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693393200,27435.45,27331.45,27338.51,27383.45,455.0,15.0,95.0,95.0,90.0,100.0,1693393200.0,0.209999998425,0.0,2023-08-30 11:00:00+00:00,0.0014840182648401827,0.005136986301369863,0.39006880109486475,0.37915364452073314,newton,0.06879106992072005,0.4991757185765176,0.03582097258758288,0.18926429295454247,0.05993157894736842,-0.36209852321755165,0.4996806630589917,0.10526315789473684,0.10526315789473684,0.01,0.0003,0.002,0.0002886751345948129,0.18926451310511488,0.14120892850427996,28000.0,0.045,0.209999998425,0.06879106992072005,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693396800,27425.0,27292.24,27353.64,27358.620000000003,455.0,15.0,100.0,97.5,95.0,100.0,1693396800.0,0.21999999999999997,0.0,2023-08-30 12:00:00+00:00,0.0013698630136986301,0.00502283105022831,0.4083839951987707,0.3850355457114464,newton,0.062193579099590064,0.456428579961556,0.03088497899533424,0.17574122736379827,0.03294102564102564,-0.31520025217448017,0.4395874103736603,0.05128205128205128,0.05128205128205128,0.01,0.0003,0.002,0.0002886751345948129,0.1757414644546573,0.15780642090040992,28000.0,0.045,0.21999999999999997,0.062193579099590064,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693400400,27464.45,27145.23,27376.07,27304.84,455.0,60.0,105.0,122.5,115.0,130.0,1693400400.0,0.23,0.0,2023-08-30 13:00:00+00:00,0.0012557077625570776,0.004908675799086758,0.47769375780282436,0.3372643110373714,newton,0.06806740362120216,0.40528629265691934,0.018683773989385276,0.13668860226582638,0.06852448979591837,-0.2683667466157359,0.40450155385814024,0.12244897959183673,0.12244897959183673,0.01,0.0003,0.002,0.0002886751345948129,0.13668890709460885,0.16193259637879787,28000.0,0.045,0.23,0.06806740362120216,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693404000,27424.4,27017.24,27110.01,27220.82,455.0,70.0,70.0,70.0,65.0,75.0,1693404000.0,0.12,0.0,2023-08-30 14:00:00+00:00,0.001141552511415525,0.004794520547945206,0.4163907230314097,0.4046730459347133,newton,0.02224374182125152,0.2538622968272599,0.010553705392345803,0.10273122890506958,0.07872857142857143,-0.2578380382612563,0.30232552190375933,0.14285714285714285,0.14285714285714285,0.01,0.0003,0.002,0.0002886751345948129,0.10273163449336886,0.09775625817874847,28000.0,0.045,0.12,0.02224374182125152,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693407600,27293.9,27036.66,27201.63,27165.28,455.0,70.0,70.0,82.5,80.0,85.0,1693407600.0,0.17,0.0,2023-08-30 15:00:00+00:00,0.0010273972602739725,0.0046803652968036525,0.46788823526129497,0.3974861557255637,newton,0.021564352653664236,0.2214115111438623,0.007745409894207721,0.08800801039796162,0.037603030303030305,-0.18853437802937084,0.23166308333669933,0.06060606060606061,0.06060606060606061,0.01,0.0003,0.002,0.0002886751345948129,0.08800848383844057,0.14843564734633577,28000.0,0.045,0.17,0.021564352653664236,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693411200,27210.84,27067.9,27155.37,27139.370000000003,420.0,70.0,70.0,75.0,70.0,80.0,1693411200.0,0.05790386956495406,0.0,2023-08-30 16:00:00+00:00,0.0009132420091324201,0.0045662100456621,0.4672813128872003,0.3815499389303844,newton,0.013381336384213606,0.16165085884727975,0.003804160304140426,0.061677875321223784,0.07396666666666667,-0.18147396591205167,0.20823663868047887,0.13333333333333333,0.13333333333333333,0.01,0.0003,0.002,0.0002886751345948129,0.06167855087041004,0.04452253318074045,28000.0,0.045,0.05790386956495406,0.013381336384213606,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693414800,27249.99,27117.0,27167.98,27183.495000000003,395.0,70.0,75.0,70.0,65.0,75.0,1693411200.0,0.05790386956495406,3600.0,2023-08-30 17:00:00+00:00,0.0007990867579908676,0.004452054794520548,0.44599663989853655,0.3604832574722987,newton,0.009365502669667552,0.13194936418598194,0.002262480274249312,0.04756553662316144,0.07872857142857143,-0.1625915205403003,0.18132252587963538,0.14285714285714285,0.14285714285714285,0.01,0.0003,0.002,0.0002886751345948129,0.047566412599466076,0.04853836689528651,28000.0,0.045,0.05790386956495406,0.009365502669667552,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
