ts,spot_close,spot_high,spot_low,call_close,call_high,call_low,poly_quote_ts,p_poly,poly_stale_sec,dvol_close,rv_ann,dt,tau_poly,tau_call,sigma_hat,se_sigma,sigma_source,p_fair,dpfair_dsigma,var_pfair,se_pfair,se_poly_discrete,se_D_delta,D,TF_t,CI_adj_lo,CI_adj_hi,market_id,market_label,deribit_call
1771768800,67424.0,67640.0,67335.0,0.0005,0.0005,0.0004,1771768800.0,0.07999999999999996,0.0,,,2026-02-22 14:00:00+00:00,0.003080082135523614,0.002053388090349076,0.5051246461078307,0.01031624905309866,iv_newton,0.089051254744084,0.42054037990325077,1.8821708451244024e-05,0.0043383992959666615,0.0002886751345948129,0.004347992845506689,-0.009051254744084039,0.0078,0.07274799212398934,0.10535451736417865,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771772400,67667.5,67795.0,67279.5,0.0006,0.0006,0.0004,1771772400.0,0.1,0.0,,,2026-02-22 15:00:00+00:00,0.00296600501939311,0.0019393109742185718,0.4990050900430884,0.01826992500189923,iv_newton,0.1046003077809671,0.4464149013518537,6.651979391139991e-05,0.00815596676742861,0.0002886751345948129,0.008161073902663378,-0.0046003077809670945,0.0078,0.08081461291680703,0.12838600264512717,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771776000,67602.0,67692.5,67485.0,0.0006,0.0006,0.0006,1771776000.0,0.0778764721426426,0.0,,,2026-02-22 16:00:00+00:00,0.0028519279032626055,0.0018252338580880675,0.5258434063116905,0.0011465105924966517,iv_newton,0.10549762762401722,0.42423346608453916,2.365734446760544e-07,0.00048638816255749316,0.0002886751345948129,0.0005656030215702421,-0.02762115548137463,0.0078,0.09674430682540454,0.11425094842262991,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771779600,67353.0,67602.0,67150.0,0.0003,0.0003,0.0003,1771779600.0,0.0761904761904762,0.0,,,2026-02-22 17:00:00+00:00,0.0027378507871321013,0.0017111567419575632,0.513325531730251,0.000920435398681596,iv_newton,0.07435924303176226,0.38823314363972083,1.2769439725179464e-07,0.00035734352834743577,0.0002886751345948129,0.0004593775468883171,0.0018312331587139324,0.0078,0.06585884971620129,0.08285963634732324,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771783200,67400.5,67419.5,67288.5,0.0003,0.0003,0.0003,1771783200.0,0.06,0.0,,,2026-02-22 18:00:00+00:00,0.002623773671001597,0.0015970796258270592,0.523432971704129,0.0009426489978064287,iv_newton,0.07773190241663297,0.38727569961152963,1.3327249081443937e-07,0.0003650650501135919,0.0002886751345948129,0.0004654093081877206,-0.017731902416632972,0.0078,0.06921637491841033,0.08624742991485561,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771786800,67398.5,67451.0,67373.0,0.0003,0.0003,0.0003,1771786800.0,0.06999999390999992,0.0,,,2026-02-22 19:00:00+00:00,0.0025096965548710927,0.001483002509696555,0.5436007687684922,0.0009787553416473575,iv_newton,0.08072238607628211,0.3780247841119366,1.3689539481496797e-07,0.00036999377672464705,0.0002886751345948129,0.0004692853376660103,-0.010722392166282194,0.0078,0.07219719827390181,0.08924757387866242,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771790400,67346.0,67452.5,67330.5,0.0003,0.0003,0.0003,1771790400.0,0.05,0.0,,,2026-02-22 20:00:00+00:00,0.0023956194387405884,0.0013689253935660506,0.5753700356847438,0.0010309308454596274,iv_newton,0.08336113997792109,0.3610249521350604,1.3852670556921127e-07,0.00037219175913661936,0.0002886751345948129,0.0004710202107155749,-0.03336113997792109,0.0078,0.07483164413001332,0.09189063582582886,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771794000,67580.0,67587.5,67363.0,0.0003,0.0003,0.0003,1771794000.0,0.06000000000000005,0.0,,,2026-02-22 21:00:00+00:00,0.0022815423226100846,0.0012548482774355464,0.5565931918253418,0.0010198476809072396,iv_newton,0.09128844915703761,0.38513218820674255,1.5427311892282937e-07,0.0003927761689853769,0.0002886751345948129,0.0004874489227151525,-0.03128844915703756,0.0078,0.08271860786582627,0.09985829044824895,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771797600,67646.5,67719.5,67436.5,0.0002,0.0002,0.0002,1771797600.0,0.06000000000000005,0.0,,,2026-02-22 22:00:00+00:00,0.0021674652064795803,0.0011407711613050423,0.5311968036346053,0.000892843290710055,iv_newton,0.08205646918947294,0.3898553126289602,1.2115947771111933e-07,0.0003480797002284381,0.0002886751345948129,0.0004522088135413248,-0.02205646918947289,0.0078,0.0735742329770252,0.09053870540192069,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771801200,67607.0,67695.0,67421.5,0.0002,0.0002,0.0002,1771801200.0,0.0599999459999946,0.0,,,2026-02-22 23:00:00+00:00,0.002053388090349076,0.001026694045174538,0.5679317857714653,0.00095089525768695,iv_newton,0.08677015506598053,0.3714929345061269,1.2478617693397526e-07,0.0003532508696860848,0.0002886751345948129,0.00045620117302272315,-0.026770209065985928,0.0078,0.0782777833613958,0.09526252677056525,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771804800,66696.5,67655.5,66666.0,0.0001,0.0001,0.0001,1771804800.0,0.02300000000000002,0.0,,,2026-02-23 00:00:00+00:00,0.0019393109742185718,0.0009126169290440338,0.7174505427760451,0.0009703960419020816,iv_newton,0.06139534360229556,0.2555170996186295,6.14805821552054e-08,0.00024795278210821794,0.0002886751345948129,0.0003805442359155355,-0.03839534360229554,0.0078,0.05310935614936345,0.06968133105522767,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
